t_idx,node_idx,local_internal_energy_u,local_entropy_s,local_temperature_t
13,1,86243.6300,-0.0000,86436780.8036
13,2,174285.6600,-0.0000,6691505.6886
13,3,144327.1600,1.7160,154326052.8900
13,4,18800.3000,-0.0000,186699.2321
13,5,5346.4300,-0.0000,517192.4037
13,6,10368.9700,-0.0000,1222420.1255
13,7,53497.0900,-0.0000,81956613.2640
13,8,98180.0600,-0.0000,285179948.5286
14,0,67221.6300,-0.0000,21441501.6945
14,1,100998.4000,-0.0000,96903455.9187
14,2,229967.1800,-0.0000,13509694.6101
14,3,167510.6800,1.5725,459972468.7973
14,4,17196.2600,-0.0000,321724.7845
14,5,5332.8500,-0.0000,411954.9797
14,6,4170.1100,-0.0000,6823444.7510
14,7,66523.3100,-0.0000,66544315.9380
14,8,121902.2600,-0.0000,232254417.2991
15,0,68860.8000,-0.0000,7110447.1116
15,1,95769.7600,-0.0000,25551450.2476
15,2,224027.5300,-0.0000,99043944.5641
15,3,182686.7500,1.6935,414434845.9066
